Name,DateTime,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,HasName,Year,Month,Weekday,Hour,WeekofYear,DayofMonth,isHoliday,AgeinDays,LifeStage,BernoulliSex,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,AvgAge,MixType,Hair,BlendedColor,ReducedPattern,ID
Alfie,2014-04-02 11:29:00,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,White,1.0,2014,4,2,11,14,2,False,365.0,Puppy/Kitten,Intact Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,white,Solid,7353
Millard,2013-12-07 16:46:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,1.0,2013,12,5,16,49,7,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,brown,Tabby,7354
Peaches,2015-05-19 18:52:00,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby/White,1.0,2015,5,1,18,21,19,False,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Short,wheat,Tabby,7355
Desi,2013-12-01 16:20:00,Dog,Spayed Female,1 year,Jack Russell Terrier/Australian Cattle Dog,Tricolor,1.0,2013,12,6,16,48,1,True,365.0,Puppy/Kitten,Spayed Female,34.0,2.0,4.0,3.0,14.0,Cross,Medium,Not_clear,Solid,7356
Jonah,2015-07-21 18:14:00,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby/White,1.0,2015,7,1,18,30,21,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Mix,Medium,khaki,Tabby,7357
,2015-10-25 14:00:00,Dog,Neutered Male,3 years,Black Mouth Cur/Siberian Husky,Sable/Tan,0.0,2015,10,6,14,43,25,True,1095.0,Young Adult,Neutered Male,75.0,4.0,3.0,3.0,11.0,Cross,Short,indianred,BiColor,7358
,2013-10-01 18:33:00,Cat,Intact Female,1 week,Domestic Shorthair Mix,Tortie,0.0,2013,10,1,18,40,1,False,7.0,Infant,Intact Female,9.0,1.0,3.0,3.0,15.0,Mix,Short,Not_clear,TriColor,7359
Ink,2014-07-03 18:01:00,Dog,Intact Female,10 years,Toy Poodle Mix,Black,1.0,2014,7,3,18,27,3,True,3650.0,Senior,Intact Female,8.0,1.0,5.0,4.0,16.0,Mix,Short,black,Solid,7360
Pep,2014-09-15 16:35:00,Dog,Neutered Male,15 years,Lhasa Apso Mix,Brown/White,1.0,2014,9,0,16,38,15,False,5475.0,Geriatric,Neutered Male,15.0,2.0,2.0,4.0,14.0,Mix,Short,rosybrown,BiColor,7361
Coco,2014-03-09 11:34:00,Dog,Intact Female,3 years,Pit Bull Mix,White/Brown,1.0,2014,3,6,11,10,9,True,1095.0,Young Adult,Intact Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,BiColor,7362
Felix,2015-07-22 19:12:00,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,1.0,2015,7,2,19,30,22,True,93.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,black,Solid,7363
Magi,2014-10-21 17:21:00,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,1.0,2014,10,1,17,43,21,False,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Short,Not_clear,TriColor,7364
Tabby,2013-10-19 17:16:00,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie,1.0,2013,10,5,17,42,19,True,155.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,Not_clear,TriColor,7365
Leon,2014-05-17 11:26:00,Cat,Neutered Male,1 year,Domestic Shorthair,Blue,1.0,2014,5,5,11,20,17,True,365.0,Puppy/Kitten,Neutered Male,9.0,1.0,3.0,3.0,12.0,Pure,Short,grey,Solid,7366
Hazel,2014-11-24 14:08:00,Dog,Spayed Female,2 years,Boston Terrier/Australian Kelpie,Black/White,1.0,2014,11,0,14,48,24,False,730.0,Young Adult,Spayed Female,34.0,2.0,4.0,3.0,13.0,Cross,Short,grey,BiColor,7367
Lavender,2015-06-23 13:40:00,Cat,Spayed Female,1 year,Domestic Longhair Mix,Brown Tabby,1.0,2015,6,1,13,26,23,False,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,12.0,Mix,Long,brown,Tabby,7368
Mimi,2014-01-26 15:09:00,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Tortie,1.0,2014,1,6,15,4,26,True,310.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,9.0,Mix,Short,Not_clear,TriColor,7369
Rosarita,2015-09-01 17:13:00,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,1.0,2015,9,1,17,36,1,False,730.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,brown,Tabby,7370
,2014-06-15 17:41:00,Dog,Intact Male,1 month,Jack Russell Terrier/Labrador Retriever,Chocolate,0.0,2014,6,6,17,24,15,True,31.0,Infant,Intact Male,42.0,3.0,4.0,4.0,14.0,Cross,Short,brown,Solid,7371
,2014-06-17 13:23:00,Dog,Spayed Female,1 month,German Shepherd Mix,Black/Brown,0.0,2014,6,1,13,25,17,False,31.0,Infant,Spayed Female,70.0,4.0,5.0,3.0,12.0,Mix,Short,maroon,BiColor,7372
Sophia,2014-09-26 17:17:00,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown,1.0,2014,9,4,17,39,26,False,730.0,Young Adult,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,BiColor,7373
Josie,2014-11-14 11:32:00,Dog,Spayed Female,15 years,Jack Russell Terrier Mix,White/Brown,1.0,2014,11,4,11,46,14,False,5475.0,Geriatric,Spayed Female,15.0,2.0,3.0,4.0,14.0,Mix,Short,rosybrown,BiColor,7374
,2014-09-16 13:51:00,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby,0.0,2014,9,1,13,38,16,False,730.0,Young Adult,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,grey,Tabby,7375
Guppy,2015-12-11 10:39:00,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,1.0,2015,12,4,10,50,11,True,93.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Tabby,7376
,2014-08-23 16:37:00,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.0,2014,8,5,16,34,23,True,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,15.0,Mix,Short,rosybrown,Tabby,7377
Stevie,2013-12-08 14:54:00,Dog,Neutered Male,7 years,Labrador Retriever/Basset Hound,White,1.0,2013,12,6,14,49,8,True,2555.0,Senior,Neutered Male,63.0,4.0,4.0,4.0,14.0,Cross,Short,white,Solid,7378
Denham,2015-11-01 18:06:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,1.0,2015,11,6,18,44,1,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,grey,Tabby,7379
Oso,2015-06-09 19:12:00,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black Brindle,1.0,2015,6,1,19,24,9,False,2190.0,Adult,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,black,TriColor,7380
Ruby,2014-05-07 14:22:00,Cat,Neutered Male,3 years,Domestic Longhair Mix,Black,1.0,2014,5,2,14,19,7,False,1095.0,Young Adult,Neutered Male,9.0,1.0,3.0,3.0,12.0,Mix,Long,black,Solid,7381
Mesa,2013-12-01 15:09:00,Dog,Spayed Female,9 months,Australian Shepherd/Greyhound,Brown Merle,1.0,2013,12,6,15,48,1,True,279.0,Puppy/Kitten,Spayed Female,42.0,3.0,3.0,3.0,13.0,Cross,Short,brown,Merle,7382
Weiser,2014-10-11 17:58:00,Cat,Neutered Male,20 years,Domestic Medium Hair Mix,Blue,1.0,2014,10,5,17,41,11,True,7300.0,Geriatric,Neutered Male,9.0,1.0,3.0,3.0,15.0,Mix,Medium,grey,Solid,7383
Golio,2014-09-07 16:27:00,Dog,Neutered Male,10 years,Labrador Retriever/Shiba Inu,Brown,1.0,2014,9,6,16,36,7,True,3650.0,Senior,Neutered Male,44.0,3.0,4.0,4.0,14.0,Cross,Short,brown,Solid,7384
Balthazar,2015-07-22 17:42:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,1.0,2015,7,2,17,30,22,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,grey,Tabby,7385
Jason,2013-11-27 18:27:00,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Cream Tabby/White,1.0,2013,11,2,18,48,27,False,93.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Medium,wheat,Tabby,7386
,2014-01-19 16:06:00,Cat,Intact Female,2 years,Domestic Shorthair Mix,Orange Tabby,0.0,2014,1,6,16,3,19,True,730.0,Young Adult,Intact Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,orange,Tabby,7387
Faith,2015-05-09 11:15:00,Dog,Spayed Female,12 years,Greyhound,Tan/White,1.0,2015,5,5,11,19,9,True,4380.0,Geriatric,Spayed Female,38.0,3.0,2.0,2.0,13.0,Pure,Short,wheat,BiColor,7388
Daisy,2015-02-20 12:24:00,Dog,Unknown,13 years,German Shepherd Mix,Brown/Black,1.0,2015,2,4,12,8,20,False,4745.0,Geriatric,Intact Male,70.0,4.0,5.0,3.0,12.0,Mix,Short,maroon,BiColor,7389
Tucker,2014-02-03 17:40:00,Dog,Neutered Male,5 years,Beagle Mix,Tricolor,1.0,2014,2,0,17,6,3,False,1825.0,Adult,Neutered Male,28.0,2.0,2.0,4.0,15.0,Mix,Medium,Not_clear,Solid,7390
,2013-12-26 14:02:00,Cat,Intact Female,1 month,Domestic Longhair Mix,Black,0.0,2013,12,3,14,52,26,True,31.0,Infant,Intact Female,9.0,1.0,3.0,3.0,13.0,Mix,Long,black,Solid,7391
,2015-11-08 18:57:00,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,0.0,2015,11,6,18,45,8,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Tabby,7392
,2015-09-04 14:12:00,Dog,Spayed Female,2 months,Labrador Retriever Mix,Chocolate/White,0.0,2015,9,4,14,36,4,False,62.0,Infant,Spayed Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,rosybrown,BiColor,7393
Red,2014-03-15 07:47:00,Dog,Neutered Male,2 months,Maltese,White,1.0,2014,3,5,7,11,15,True,62.0,Infant,Neutered Male,6.0,1.0,2.0,4.0,17.0,Pure,Short,white,Solid,7394
Lulu,2015-11-01 12:34:00,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Calico,1.0,2015,11,6,12,44,1,True,2920.0,Senior,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,Not_clear,TriColor,7395
,2015-05-05 11:45:00,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black Tabby,0.0,2015,5,1,11,19,5,False,14.0,Infant,Intact Male,9.0,1.0,3.0,3.0,11.0,Mix,Short,black,Tabby,7396
Buster,2013-11-30 14:45:00,Dog,Neutered Male,1 year,German Shepherd Mix,Sable/White,1.0,2013,11,5,14,48,30,True,365.0,Puppy/Kitten,Neutered Male,70.0,4.0,5.0,3.0,12.0,Mix,Short,rosybrown,BiColor,7397
Sadie,2014-07-19 14:34:00,Dog,Spayed Female,7 months,Labrador Retriever Mix,Black/White,1.0,2014,7,5,14,29,19,True,217.0,Puppy/Kitten,Spayed Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,grey,BiColor,7398
Chopper,2015-08-09 16:46:00,Dog,Neutered Male,7 years,Pug,Fawn,1.0,2015,8,6,16,32,9,True,2555.0,Senior,Neutered Male,16.0,2.0,2.0,4.0,13.0,Pure,Short,tan,Solid,7399
Franziska,2014-04-16 12:50:00,Dog,Spayed Female,2 years,German Shepherd Mix,Red,1.0,2014,4,2,12,16,16,False,730.0,Young Adult,Spayed Female,70.0,4.0,5.0,3.0,12.0,Mix,Long,red,Solid,7400
Nigel,2015-08-01 12:02:00,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,1.0,2015,8,5,12,31,1,True,124.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,brown,Tabby,7401
Chop,2014-09-01 14:36:00,Dog,Intact Male,9 months,Australian Cattle Dog Mix,Black/White,1.0,2014,9,0,14,36,1,True,279.0,Puppy/Kitten,Intact Male,53.0,3.0,4.0,2.0,13.0,Mix,Short,grey,BiColor,7402
Puzzles,2014-07-30 17:04:00,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan,1.0,2014,7,2,17,31,30,True,730.0,Young Adult,Neutered Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,tan,Solid,7403
Tank,2013-12-14 15:46:00,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White,1.0,2013,12,5,15,50,14,True,1460.0,Adult,Neutered Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,white,Solid,7404
Latte,2013-12-29 13:15:00,Dog,Spayed Female,7 years,Staffordshire Mix,Chocolate/White,1.0,2013,12,6,13,52,29,True,2555.0,Senior,Spayed Female,31.0,2.0,2.0,4.0,13.0,Mix,Short,rosybrown,BiColor,7405
,2014-08-08 12:39:00,Dog,Spayed Female,2 months,Pointer/Jack Russell Terrier,White/Brown,0.0,2014,8,4,12,32,8,True,62.0,Infant,Spayed Female,48.0,3.0,4.0,3.0,14.0,Cross,Short,rosybrown,BiColor,7406
,2015-07-25 12:53:00,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,0.0,2015,7,5,12,30,25,True,31.0,Infant,Intact Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,grey,BiColor,7407
Nuckles,2016-02-14 17:16:00,Dog,Neutered Male,5 years,Beagle Mix,Red,1.0,2016,2,6,17,6,14,True,1825.0,Adult,Neutered Male,28.0,2.0,2.0,4.0,15.0,Mix,Medium,red,Solid,7408
Sugar Bear,2015-02-26 14:44:00,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,White/Black,1.0,2015,2,3,14,9,26,False,730.0,Young Adult,Spayed Female,53.0,3.0,4.0,2.0,13.0,Mix,Short,grey,BiColor,7409
,2015-09-26 19:12:00,Dog,Intact Female,1 weeks,Shih Tzu Mix,White/Brown,0.0,2015,9,5,19,39,26,True,7.0,Infant,Intact Female,13.0,1.0,2.0,4.0,14.0,Mix,Long,rosybrown,BiColor,7410
Lola,2016-02-05 14:52:00,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/Cream,1.0,2016,2,4,14,5,5,False,365.0,Puppy/Kitten,Intact Female,6.0,1.0,3.0,3.0,14.0,Mix,Short,darkolivegreen,BiColor,7411
Judd,2015-09-19 11:34:00,Dog,Neutered Male,6 years,Beagle Mix,Tricolor,1.0,2015,9,5,11,38,19,True,2190.0,Adult,Neutered Male,28.0,2.0,2.0,4.0,15.0,Mix,Short,Not_clear,Solid,7412
Rupert,2015-04-08 14:59:00,Dog,Intact Male,6 months,Labrador Retriever Mix,Black/White,1.0,2015,4,2,14,15,8,False,186.0,Puppy/Kitten,Intact Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,grey,BiColor,7413
Buttons,2014-12-17 12:07:00,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Chocolate/Tan,1.0,2014,12,2,12,51,17,True,3650.0,Senior,Neutered Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,indianred,BiColor,7414
,2013-12-19 17:50:00,Dog,Spayed Female,9 months,Labrador Retriever/Australian Cattle Dog,Brown/White,0.0,2013,12,3,17,51,19,True,279.0,Puppy/Kitten,Spayed Female,60.0,4.0,4.0,3.0,13.0,Cross,Short,rosybrown,BiColor,7415
Sanford,2015-07-12 12:25:00,Dog,Neutered Male,1 year,Boxer Mix,Black/White,1.0,2015,7,6,12,28,12,True,365.0,Puppy/Kitten,Neutered Male,60.0,4.0,4.0,3.0,9.0,Mix,Short,grey,BiColor,7416
Giselle,2014-02-13 16:44:00,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White,1.0,2014,2,3,16,7,13,False,730.0,Young Adult,Spayed Female,17.0,2.0,2.0,3.0,14.0,Mix,Short,wheat,BiColor,7417
Harrison,2014-08-19 13:29:00,Dog,Neutered Male,5 years,American Bulldog Mix,Brown Brindle/White,1.0,2014,8,1,13,34,19,True,1825.0,Adult,Neutered Male,45.0,3.0,2.0,3.0,10.0,Mix,Short,rosybrown,TriColor,7418
,2015-07-12 09:00:00,Cat,Intact Female,3 months,Domestic Shorthair,Orange Tabby/White,0.0,2015,7,6,9,28,12,True,93.0,Infant,Intact Female,9.0,1.0,3.0,3.0,13.0,Pure,Short,khaki,Tabby,7419
Lucky,2013-12-14 18:07:00,Dog,Neutered Male,1 year,Yorkshire Terrier Mix,Black/Tan,1.0,2013,12,5,18,50,14,True,365.0,Puppy/Kitten,Neutered Male,6.0,1.0,3.0,3.0,14.0,Mix,Short,darkolivegreen,BiColor,7420
Frank,2014-04-12 14:51:00,Dog,Intact Male,4 years,Pit Bull Mix,Brown/White,1.0,2014,4,5,14,15,12,True,1460.0,Adult,Intact Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,BiColor,7421
,2014-08-30 09:00:00,Cat,Intact Female,11 months,Domestic Shorthair Mix,Black/White,0.0,2014,8,5,9,35,30,True,341.0,Puppy/Kitten,Intact Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,grey,BiColor,7422
Peanut Butte,2014-01-13 18:47:00,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown,1.0,2014,1,0,18,3,13,True,730.0,Young Adult,Neutered Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Solid,7423
Sugar,2014-07-11 12:29:00,Dog,Intact Female,2 years,Shih Tzu,Buff/Gray,1.0,2014,7,4,12,28,11,True,730.0,Young Adult,Intact Female,13.0,1.0,2.0,4.0,14.0,Pure,Short,rosybrown,BiColor,7424
Dixie,2014-11-26 15:00:00,Dog,Spayed Female,1 year,Rottweiler Mix,Black/Tan,1.0,2014,11,2,15,48,26,False,365.0,Puppy/Kitten,Spayed Female,100.0,5.0,4.0,2.0,9.0,Mix,Short,darkolivegreen,BiColor,7425
Karen,2014-06-22 13:57:00,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby/White,1.0,2014,6,6,13,25,22,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Medium,rosybrown,Tabby,7426
Riggs,2015-02-23 19:12:00,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,White/Black,1.0,2015,2,0,19,9,23,False,365.0,Puppy/Kitten,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,grey,BiColor,7427
Yula,2014-05-31 18:32:00,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,White/Tan,1.0,2014,5,5,18,22,31,True,1095.0,Young Adult,Spayed Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,wheat,BiColor,7428
Bootsy,2014-10-30 09:59:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White,1.0,2014,10,3,9,44,30,False,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,silver,BiColor,7429
Benny,2015-02-15 09:34:00,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Chocolate/White,1.0,2015,2,6,9,7,15,True,1095.0,Young Adult,Neutered Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,rosybrown,BiColor,7430
,2014-06-04 17:44:00,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby,0.0,2014,6,2,17,23,4,False,7.0,Infant,Intact Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,grey,Tabby,7431
Bobbi Joe,2013-10-22 17:52:00,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby,1.0,2013,10,1,17,43,22,False,186.0,Puppy/Kitten,Intact Female,9.0,1.0,3.0,3.0,10.0,Mix,Short,brown,Tabby,7432
,2015-10-03 09:00:00,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby/White,0.0,2015,10,5,9,40,3,True,1095.0,Young Adult,Intact Male,9.0,1.0,3.0,3.0,11.0,Mix,Short,rosybrown,Tabby,7433
Ruby,2014-08-06 15:52:00,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,1.0,2014,8,2,15,32,6,True,730.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,10.0,Mix,Short,rosybrown,Tabby,7434
,2015-09-10 11:35:00,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,0.0,2015,9,3,11,37,10,False,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,black,Solid,7435
,2013-11-12 18:29:00,Cat,Spayed Female,2 months,Siamese Mix,Seal Point,0.0,2013,11,1,18,46,12,False,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Point,7436
,2014-11-14 09:15:00,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Orange Tabby,0.0,2014,11,4,9,46,14,False,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,13.0,Mix,Medium,orange,Tabby,7437
,2015-09-06 16:37:00,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby,0.0,2015,9,6,16,36,6,True,6.0,Infant,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,brown,Tabby,7438
Patty,2013-11-03 18:45:00,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black/White,1.0,2013,11,6,18,44,3,True,62.0,Infant,Spayed Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,grey,BiColor,7439
Zarina,2014-08-01 11:31:00,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico,1.0,2014,8,4,11,31,1,True,31.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,Not_clear,TriColor,7440
Boing,2014-11-24 14:31:00,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White,1.0,2014,11,0,14,48,24,False,730.0,Young Adult,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,grey,BiColor,7441
Tikaani,2015-05-07 12:36:00,Dog,Neutered Male,2 years,Siberian Husky/Alaskan Malamute,White,1.0,2015,5,3,12,19,7,False,730.0,Young Adult,Neutered Male,66.0,4.0,2.0,3.0,13.0,Cross,Short,white,Solid,7442
Sparkle,2013-11-18 17:54:00,Dog,Spayed Female,5 months,Pit Bull Mix,White/Black,1.0,2013,11,0,17,47,18,False,155.0,Infant,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,grey,BiColor,7443
Disciple,2013-10-25 12:53:00,Dog,Intact Male,10 years,Pit Bull,Black,1.0,2013,10,4,12,43,25,False,3650.0,Senior,Intact Male,60.0,4.0,3.0,2.0,12.0,Pure,Short,black,Solid,7444
Rex,2015-03-15 17:52:00,Dog,Intact Male,7 years,Labrador Retriever Mix,Yellow/White,1.0,2015,3,6,17,11,15,True,2555.0,Senior,Intact Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,khaki,BiColor,7445
Pink,2014-04-17 12:45:00,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White,1.0,2014,4,3,12,16,17,False,1095.0,Young Adult,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,grey,BiColor,7446
Terry,2014-01-20 17:45:00,Dog,Spayed Female,10 months,German Shepherd Mix,Brown/Black,1.0,2014,1,0,17,4,20,True,310.0,Puppy/Kitten,Spayed Female,70.0,4.0,5.0,3.0,12.0,Mix,Short,maroon,BiColor,7447
,2014-03-07 14:52:00,Cat,Intact Female,10 months,Domestic Shorthair Mix,Black,0.0,2014,3,4,14,10,7,False,310.0,Puppy/Kitten,Intact Female,9.0,1.0,3.0,3.0,13.0,Mix,Short,black,Solid,7448
,2014-09-17 19:00:00,Dog,Spayed Female,2 years,Chihuahua Shorthair/Pug,Brown Brindle,0.0,2014,9,2,19,38,17,False,730.0,Young Adult,Spayed Female,11.0,2.0,2.0,4.0,14.0,Cross,Short,brown,TriColor,7449
,2014-04-12 17:39:00,Dog,Neutered Male,2 months,Australian Cattle Dog,Tricolor,0.0,2014,4,5,17,15,12,True,62.0,Infant,Neutered Male,53.0,3.0,4.0,2.0,13.0,Pure,Short,Not_clear,Solid,7450
Arianna,2014-12-02 11:09:00,Dog,Spayed Female,7 years,Dachshund Mix,Black/Tan,1.0,2014,12,1,11,49,2,True,2555.0,Senior,Spayed Female,17.0,2.0,2.0,3.0,14.0,Mix,Short,darkolivegreen,BiColor,7451
Georgia,2014-08-17 18:38:00,Dog,Spayed Female,1 year,Pit Bull Mix,White/Tan,1.0,2014,8,6,18,33,17,True,365.0,Puppy/Kitten,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,wheat,BiColor,7452
Morris,2013-12-31 15:27:00,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,1.0,2013,12,1,15,1,31,True,730.0,Young Adult,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,orange,Tabby,7453
Comet,2015-12-19 16:48:00,Dog,Spayed Female,10 months,Australian Cattle Dog Mix,White/Tan,1.0,2015,12,5,16,51,19,True,310.0,Puppy/Kitten,Spayed Female,53.0,3.0,4.0,2.0,13.0,Mix,Short,wheat,BiColor,7454
Hercules,2015-11-05 15:09:00,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Blue/White,1.0,2015,11,3,15,45,5,False,62.0,Infant,Intact Male,9.0,1.0,3.0,3.0,11.0,Mix,Medium,silver,BiColor,7455
Raider,2016-01-01 16:40:00,Dog,Neutered Male,14 years,Basset Hound Mix,White/Brown,1.0,2016,1,4,16,53,1,True,5110.0,Geriatric,Neutered Male,58.0,3.0,2.0,4.0,14.0,Mix,Short,rosybrown,BiColor,7456
Big Boy,2015-10-21 13:37:00,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Brown Tabby,1.0,2015,10,2,13,43,21,False,365.0,Puppy/Kitten,Neutered Male,9.0,1.0,3.0,3.0,13.0,Mix,Medium,brown,Tabby,7457
Amy,2014-01-10 17:43:00,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,1.0,2014,1,4,17,2,10,True,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,15.0,Mix,Short,Not_clear,TriColor,7458
Potato,2014-05-14 14:14:00,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor/White,1.0,2014,5,2,14,20,14,False,730.0,Young Adult,Spayed Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,white,BiColor,7459
Bangi,2015-10-21 18:16:00,Dog,Neutered Male,9 months,Pit Bull Mix,Black/White,1.0,2015,10,2,18,43,21,False,279.0,Puppy/Kitten,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,grey,BiColor,7460
,2013-10-15 18:37:00,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,0.0,2013,10,1,18,42,15,False,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,15.0,Mix,Short,rosybrown,Tabby,7461
Stella,2015-05-28 19:18:00,Dog,Spayed Female,1 year,German Shepherd Mix,Tricolor,1.0,2015,5,3,19,22,28,False,365.0,Puppy/Kitten,Spayed Female,70.0,4.0,5.0,3.0,12.0,Mix,Short,Not_clear,Solid,7462
